onset	sample	event_code	cond_code
99.11636857	24783	6	1
99.78828972	24951	1	1
100.280232	25074	6	1
100.5561996	25143	3	1
100.9201569	25234	5	1
101.0481419	25266	201	1
101.4360964	25363	6	1
101.7640579	25445	4	1
102.0840203	25525	5	1
102.4479776	25616	201	1
102.8799269	25724	3	1
103.1598941	25794	6	1
103.407865	25856	5	1
103.6158406	25908	201	1
103.7078298	25931	3	1
104.5197345	26134	6	1
104.7677054	26196	5	1
105.1196641	26284	201	1
105.4316275	26362	2	1
105.8635768	26470	5	1
106.3035252	26580	201	1
106.3875153	26601	6	1
106.9754463	26748	4	1
107.6473675	26916	6	1
108.367283	27096	4	1
109.1311933	27287	6	1
109.7991149	27454	6	1
110.2110666	27557	5	1
110.591022	27652	6	1
110.6110197	27657	201	1
110.974977	27748	6	1
111.3589319	27844	1	1
111.8708718	27972	6	1
112.2028329	28055	5	1
112.5387934	28139	3	1
112.5787887	28149	201	1
113.1747188	28298	5	1
113.6106677	28407	201	1
113.7226545	28435	3	1
114.1985987	28554	6	1
114.3945757	28603	201	1
114.6545451	28668	5	1
115.2504752	28817	201	1
115.3304658	28837	5	1
115.8304072	28962	5	1
116.1223729	29035	201	1
116.5343246	29138	2	1
117.0182678	29259	6	1
117.6701913	29422	3	1
118.1901302	29552	5	1
118.2981176	29579	201	1
118.7340664	29688	6	1
119.1420185	29790	6	1
119.8019411	29955	5	1
120.1139045	30033	201	1
120.2538881	30068	6	1
120.5618519	30145	1	1
121.0097994	30257	5	1
121.4737449	30373	5	1
121.6737214	30423	201	1
121.8017064	30455	6	1
122.4776271	30624	5	1
122.785591	30701	6	1
123.3175285	30834	4	1
124.0934375	31028	5	1
124.3934023	31103	201	1
124.6613708	31170	6	1
125.2772986	31324	5	1
125.6972493	31429	201	1
125.8172352	31459	6	1
126.1451967	31541	5	1
126.6251404	31661	201	1
126.9451028	31741	2	1
127.4730409	31873	5	1
127.7210118	31935	6	1
127.9929799	32003	4	1
128.272947	32073	201	1
128.4729235	32123	6	1
129.2728297	32323	6	1
129.5927921	32403	6	1
129.8607607	32470	6	1
130.4486917	32617	6	1
132.0765007	33024	202	1
136.6719614	34173	2	2
137.1719027	34298	6	2
137.5678562	34397	201	2
137.7238379	34436	6	2
138.4517525	34618	5	2
139.1956652	34804	5	2
139.4356371	34864	5	2
140.0595638	35020	3	2
140.3075347	35082	6	2
140.8074761	35207	6	2
141.4873963	35377	5	2
142.1393198	35540	6	2
142.4072883	35607	6	2
142.6512597	35668	1	2
142.9912198	35753	5	2
143.6151466	35909	3	2
144.0790921	36025	5	2
144.2990663	36080	5	2
144.5550363	36144	2	2
145.0829743	36276	6	2
145.9028781	36481	4	2
146.3348274	36589	6	2
146.3668237	36597	201	2
146.9307575	36738	6	2
147.2427209	36816	6	2
147.8986439	36980	6	2
148.1266172	37037	1	2
148.5345693	37139	6	2
149.0785055	37275	3	2
149.5944449	37404	5	2
149.9464036	37492	5	2
150.4863402	37627	5	2
150.7703069	37698	5	2
151.1222656	37786	3	2
151.4582262	37870	5	2
151.9461689	37992	5	2
152.6300887	38163	2	2
153.13003	38288	5	2
153.4819887	38376	4	2
153.7499573	38443	3	2
153.9659319	38497	201	2
154.4418761	38616	6	2
155.277778	38825	6	2
155.6337362	38914	4	2
156.0216907	39011	201	2
156.0376888	39015	5	2
156.6376184	39165	6	2
157.3775316	39350	4	2
157.5975057	39405	201	2
158.1614396	39546	5	2
158.541395	39641	6	2
159.0453358	39767	6	2
159.4652866	39872	5	2
159.6972593	39930	6	2
160.0452185	40017	201	2
160.4851669	40127	6	2
161.2570763	40320	5	2
161.9609937	40496	6	2
162.3529477	40594	1	2
162.724904	40687	6	2
163.048866	40768	5	2
163.432821	40864	3	2
164.1767337	41050	5	2
164.6806745	41176	3	2
165.2966022	41330	6	2
165.8325394	41464	5	2
166.636445	41665	5	2
167.2363746	41815	5	2
167.4403507	41866	2	2
167.8842986	41977	5	2
168.1602662	42046	4	2
168.400238	42106	5	2
168.5922155	42154	201	2
169.1001559	42281	6	2
169.8720653	42474	4	2
170.1240357	42537	6	2
170.2640193	42572	201	2
170.8079555	42708	5	2
171.3598907	42846	4	2
171.6798532	42926	201	2
171.8718306	42974	5	2
172.5237541	43137	6	2
173.1796772	43301	6	2
173.4396466	43366	5	2
174.0915701	43529	1	2
174.4355298	43615	6	2
174.6675026	43673	3	2
174.919473	43736	5	2
175.3754195	43850	6	2
175.6273899	43913	4	2
176.0193439	44011	5	2
176.0633388	44022	201	2
176.6312721	44164	3	2
176.9312369	44239	6	2
177.2432003	44317	5	2
177.5391656	44391	3	2
178.3550698	44595	6	2
178.7350252	44690	201	2
178.7630219	44697	5	2
178.9909952	44754	2	2
179.4549407	44870	6	2
179.682914	44927	3	2
179.9348844	44990	5	2
180.5508121	45144	6	2
180.8747741	45225	5	2
181.1107464	45284	6	2
181.7546709	45445	5	2
182.2386141	45566	5	2
182.6745629	45675	6	2
183.0945136	45780	6	2
183.8024306	45957	5	2
184.1863855	46053	6	2
184.4063597	46108	1	2
184.7463198	46193	6	2
184.9902912	46254	3	2
185.3502489	46344	5	2
186.0381682	46516	3	2
186.4501199	46619	5	2
186.6740936	46675	6	2
187.0500494	46769	5	2
187.3060194	46833	6	2
188.0659302	47023	5	2
188.485881	47128	3	2
188.8338401	47215	4	2
189.2217946	47312	5	2
189.2537908	47320	201	2
189.6777411	47426	6	2
189.9857049	47503	5	2
190.6336289	47665	2	2
