pres_trial	stimulus	type	latency
31	Picture	C	102930.0
31	Picture	gM	103290.0
31	Picture	P	103651.0
31	Picture	WM	104011.0
31	Picture	rJ	104665.0
31	Response	255	105020.992
32	Sound	correct	105140.192
32	Response	1	106483.992
33	Picture	nonWM	106500.0
33	Picture	D	107812.0
33	Picture	gC	108172.0
33	Picture	L	108533.0
33	Picture	S	108893.0
33	Picture	J	109253.0
33	Picture	gK	109614.0
33	Picture	H	109974.0
33	Picture	gV	110335.0
33	Picture	WM	110695.0
33	Picture	rL	111613.0
33	Response	1	111829.992
34	Sound	correct	111949.192
34	Response	255	112527.992
35	Picture	nonWM	112547.0
35	Picture	W	113859.0
35	Picture	K	114219.0
35	Picture	M	114579.0
35	Picture	C	114940.0
35	Picture	Q	115300.0
35	Picture	gG	115660.0
35	Picture	B	116021.0
35	Picture	T	116381.0
35	Picture	WM	116742.0
35	Picture	rB	117374.0
35	Response	1	117649.992
36	Sound	correct	117769.192
36	Response	255	118176.992
37	Picture	nonWM	118196.0
37	Picture	M	119507.0
37	Picture	gG	119868.0
37	Picture	L	120228.0
37	Picture	Z	120588.0
37	Picture	B	120949.0
37	Picture	Y	121309.0
37	Picture	gR	121670.0
37	Picture	gC	122030.0
37	Picture	WM	122390.0
37	Picture	rT	123048.0
37	Response	255	123370.992
38	Sound	correct	123490.192
38	Response	1	124543.992
39	Picture	nonWM	124561.0
39	Picture	K	125873.0
39	Picture	gC	126233.0
39	Picture	J	126593.0
39	Picture	gY	126954.0
39	Picture	L	127314.0
39	Picture	D	127674.0
39	Picture	M	128035.0
39	Picture	gS	128395.0
39	Picture	WM	128755.0
39	Picture	rJ	129325.0
39	Response	255	129592.992
40	Sound	wrong	129712.192
40	Response	1	130521.992
41	Picture	nonWM	130541.0
41	Picture	K	131852.0
41	Picture	gZ	132213.0
41	Picture	J	132573.0
41	Picture	V	132933.0
41	Picture	R	133294.0
41	Picture	gH	133654.0
41	Picture	gM	134014.0
41	Picture	S	134375.0
41	Picture	WM	134735.0
41	Picture	rR	135544.0
41	Response	1	135768.992
42	Sound	correct	135888.192
42	Response	255	136236.992
43	Picture	nonWM	136252.0
43	Picture	gX	137564.0
43	Picture	J	137924.0
43	Picture	N	138285.0
