pres_trial	stimulus	type	latency	event_type	task_role	letter
19	Picture	J	219094.0	show_letter	target	J
19	Picture	C	219455.0	show_letter	target	C
19	Picture	gF	219815.0	show_letter	non_target	F
19	Picture	V	220175.0	show_letter	target	V
19	Picture	S	220536.0	show_letter	target	S
19	Picture	WM	220896.0	show_dash	work_memory	n/a
19	Picture	rS	221717.0	show_letter	probe	S
19	Response	1	221937.992	right_click	in_group	n/a
20	Sound	correct	222057.192	sound_beep	correct_feedback	n/a
20	Response	255	222550.992	response	unknown	n/a
21	Picture	nonWM	222568.0	show_cross	ready	n/a
21	Picture	gD	223880.0	show_letter	non_target	D
21	Picture	gB	224240.0	show_letter	non_target	B
21	Picture	gG	224600.0	show_letter	non_target	G
21	Picture	J	224961.0	show_letter	target	J
21	Picture	gW	225321.0	show_letter	non_target	W
21	Picture	L	225681.0	show_letter	target	L
21	Picture	gK	226042.0	show_letter	non_target	K
21	Picture	C	226402.0	show_letter	target	C
21	Picture	WM	226763.0	show_dash	work_memory	n/a
21	Picture	rL	227387.0	show_letter	probe	L
21	Response	1	227566.992	right_click	in_group	n/a
22	Sound	correct	227686.192	sound_beep	correct_feedback	n/a
22	Response	255	227882.992	response	unknown	n/a
23	Picture	nonWM	227898.0	show_cross	ready	n/a
23	Picture	gP	229210.0	show_letter	non_target	P
23	Picture	W	229570.0	show_letter	target	W
23	Picture	F	229931.0	show_letter	target	F
23	Picture	S	230291.0	show_letter	target	S
23	Picture	Z	230651.0	show_letter	target	Z
23	Picture	T	231012.0	show_letter	target	T
23	Picture	K	231372.0	show_letter	target	K
23	Picture	Q	231732.0	show_letter	target	Q
23	Picture	WM	232093.0	show_dash	work_memory	n/a
23	Picture	rL	232784.0	show_letter	probe	L
23	Response	255	233148.992	response	unknown	n/a
24	Sound	correct	233268.192	sound_beep	correct_feedback	n/a
24	Response	1	234334.992	right_click	in_group	n/a
25	Picture	nonWM	234352.0	show_cross	ready	n/a
25	Picture	B	235663.0	show_letter	target	B
25	Picture	N	236024.0	show_letter	target	N
25	Picture	R	236384.0	show_letter	target	R
